size,Location,Total sqft,price_sqft,price,area_type,availability
2 BHK Apartment,Kharghar,708,"15,408",1.09 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,923,"15,260",1.4 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,694,"15,392",1.06 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Vasai,401,"6,130",24.58 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vasai,440,"6,434",28.31 L,Built-up  Area,Ready To Move
1 BHK Apartment,Vasai,334,"6,571",21.95 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vasai,383,"6,532",25.02 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1275,"11,843",1.51 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,1875,"11,520",2.16 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1415,"11,660",1.65 Cr,Super built-up  Area,Not Ready Yet
4 BHK Apartment,Kharghar,3295,"11,562",3.81 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,1890,"11,534",2.18 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,1855,"11,536",2.14 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,2025,"11,456",2.32 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Kharghar,1400,"11,714",1.64 Cr,Super built-up  Area,Ready To Move
4 BHK Apartment,Kharghar,3405,"11,541",3.93 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Ambernath East,662,"5,392",35.69 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Ambernath East,438,"5,392",23.61 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vasai,280,"6,817",19.09 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vasai,278,"6,474",18 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Vangani,410,"4,243",17.4 L,Built-up  Area,Ready To Move
1 BHK Apartment,Palghar,550,"3,000",16.5 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Palghar,760,"3,000",22.8 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vasai,685,"5,309",36.37 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Vasai,1100,"5,454",60 L,Super built-up  Area,Ready To Move
3,Dombivali East,1595,"9,090",1.45 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Chembur,570,"19,298",1.1 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Mira Road East,580,"11,896",69 L,Built-up  Area,Ready To Move
2,Badlapur East,1000,"3,000",30 L,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,534,"2,902",15.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vasai east,555,"6,306",35 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
5 BHK Independent Floor,Andheri West,1601,"1,249",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,246,"27,909",68.65 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,503,"27,598",1.38 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,514,"27,591",1.41 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,323,"25,664",82.89 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,237,"25,832",61.22 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,275,"25,745",70.8 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Andheri West,216,"25,894",55.93 L,Super built-up  Area,Ready To Move
1,Neral,460,"4,130",19 L,Built-up  Area,Ready To Move
1 RK Studio Apartment,Bhiwandi,300,"5,333",16 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Wada,507,"5,818",29.5 L,Super built-up  Area,Ready To Move
2,Dadar East,750,"30,000",2.25 Cr,Super built-up  Area,Ready To Move
1,Colaba,635,"37,795",2.4 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,978,"19,427",1.9 Cr,Built-up  Area,Not Ready Yet
2 BHK Apartment,Mira Road East,810,"11,111",90 L,Super built-up  Area,Ready To Move
2,Panvel,887,"9,582",85 L,Super built-up  Area,Ready To Move
1,Badlapur West,387,"2,971",11.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Sion,662,"4,229",28 L,Super built-up  Area,Not Ready Yet
2,Santosh Nagar,860,"4,883",42 L,Super built-up  Area,Ready To Move
1,Virar East,560,"5,312",29.75 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Badlapur East,865,"4,161",36 L,Super built-up  Area,Ready To Move
1,Agripada,765,"16,993",1.3 Cr,Super built-up  Area,Ready To Move
1,Panvel,630,"4,126",26 L,Super built-up  Area,Ready To Move
3,Gorai,2250,"3,466",78 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vangani,450,"19,777",89 L,Built-up  Area,Not Ready Yet
1,Virar West,550,"7,272",40 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Santacruz West,600,"41,666",2.5 Cr,Plot  Area,Ready To Move
1 BHK Apartment,Andheri West,651,"3,072",20 L,Super built-up  Area,Not Ready Yet
2,Kalwa,535,"8,598",46 L,Super built-up  Area,Ready To Move
2,Kalyan West,825,"6,545",54 L,Built-up  Area,Ready To Move
6 BHK Independent Floor,Powai,2002,"14,985",3 Cr,Super built-up  Area,Not Ready Yet
3 BHK Independent Floor,Powai,2000,"14,300",2.86 Cr,Super built-up  Area,Ready To Move
2,Goregaon East,854,"21,662",1.85 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,695,"3,309",23 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,420,"16,199",68.03 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Dahisar,394,"16,499",65 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,316,"17,498",55.29 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Nala Sopara,1275,"5,490",69.99 L,Super built-up  Area,Not Ready Yet
1,Hendre Pada,387,"3,001",11.61 L,Super built-up  Area,Ready To Move
1,Vasai West,560,"8,392",47 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Thane West,680,"11,323",77 L,Super built-up  Area,Ready To Move
1,Mazgaon,350,"18,571",65 L,Built-up  Area,Ready To Move
1,Ulwe,385,"6,363",24.5 L,Super built-up  Area,Ready To Move
1,Belapur,550,"6,363",35 L,Built-up  Area,Ready To Move
1 BHK Apartment,Badlapur East,725,"3,448",25 L,Plot  Area,Ready To Move
3 BHK Independent House,Borivali West,780,"10,000",78 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Nerul,1150,"15,217",1.75 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,413,"18,005",74.36 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,353,"17,220",60.78 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Dahisar,390,"17,215",67.13 L,Built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,406,"17,226",69.76 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Dahisar,332,"17,247",57.09 L,Super built-up  Area,Ready To Move
